"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.104.9.70","128.95.155.101","TCP","78","52943  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1344 WS=64 TSval=745172893 TSecr=0 SACK_PERM=1"
"2","0.000015","10.104.9.70","128.95.155.101","TCP","78","[TCP Out-Of-Order] 52943  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1344 WS=64 TSval=745172893 TSecr=0 SACK_PERM=1"
"3","0.000295","128.95.155.101","10.104.9.70","TCP","74","443  >  52943 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=24531302 TSecr=745172893"
"4","0.000311","128.95.155.101","10.104.9.70","TCP","74","[TCP Out-Of-Order] 443  >  52943 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=24531302 TSecr=745172893"
"5","0.021394","10.104.9.70","128.95.155.101","TCP","66","52943  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0 TSval=745172911 TSecr=24531302"
"6","0.021403","10.104.9.70","128.95.155.101","TCP","66","[TCP Dup ACK 5#1] 52943  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0 TSval=745172911 TSecr=24531302"
"7","0.021627","10.104.9.70","128.95.155.101","TLSv1.2","583","Client Hello"
"8","0.021644","10.104.9.70","128.95.155.101","TCP","583","[TCP Retransmission] 52943  >  443 [PSH, ACK] Seq=1 Ack=1 Win=131840 Len=517 TSval=745172911 TSecr=24531302"
"9","0.046541","128.95.155.101","10.104.9.70","TCP","1398","443  >  52943 [ACK] Seq=1 Ack=518 Win=262400 Len=1332 TSval=24531348 TSecr=745172911 [TCP segment of a reassembled PDU]"
"10","0.046558","128.95.155.101","10.104.9.70","TCP","1398","[TCP Retransmission] 443  >  52943 [ACK] Seq=1 Ack=518 Win=262400 Len=1332 TSval=24531348 TSecr=745172911"
"11","0.046598","128.95.155.101","10.104.9.70","TCP","1398","443  >  52943 [ACK] Seq=1333 Ack=518 Win=262400 Len=1332 TSval=24531348 TSecr=745172911 [TCP segment of a reassembled PDU]"
"12","0.046615","128.95.155.101","10.104.9.70","TCP","1398","[TCP Retransmission] 443  >  52943 [ACK] Seq=1333 Ack=518 Win=262400 Len=1332 TSval=24531348 TSecr=745172911"
"13","0.046677","128.95.155.101","10.104.9.70","TCP","1398","443  >  52943 [ACK] Seq=2665 Ack=518 Win=262400 Len=1332 TSval=24531348 TSecr=745172911 [TCP segment of a reassembled PDU]"
"14","0.046677","128.95.155.101","10.104.9.70","TCP","1398","[TCP Retransmission] 443  >  52943 [ACK] Seq=2665 Ack=518 Win=262400 Len=1332 TSval=24531348 TSecr=745172911"
"15","0.046677","128.95.155.101","10.104.9.70","TLSv1.2","855","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"16","0.046677","128.95.155.101","10.104.9.70","TCP","855","[TCP Retransmission] 443  >  52943 [PSH, ACK] Seq=3997 Ack=518 Win=262400 Len=789 TSval=24531348 TSecr=745172911"
"17","0.071003","10.104.9.70","128.95.155.101","TCP","66","52943  >  443 [ACK] Seq=518 Ack=1333 Win=130496 Len=0 TSval=745172957 TSecr=24531348"
"18","0.071012","10.104.9.70","128.95.155.101","TCP","66","52943  >  443 [ACK] Seq=518 Ack=2665 Win=129728 Len=0 TSval=745172957 TSecr=24531348"
"19","0.071012","10.104.9.70","128.95.155.101","TCP","66","52943  >  443 [ACK] Seq=518 Ack=3997 Win=129728 Len=0 TSval=745172957 TSecr=24531348"
"20","0.071013","10.104.9.70","128.95.155.101","TCP","66","52943  >  443 [ACK] Seq=518 Ack=4786 Win=130240 Len=0 TSval=745172957 TSecr=24531348"
"21","0.071013","10.104.9.70","128.95.155.101","TCP","66","52943  >  443 [ACK] Seq=518 Ack=1333 Win=130496 Len=0 TSval=745172957 TSecr=24531348"
"22","0.071033","10.104.9.70","128.95.155.101","TCP","66","52943  >  443 [ACK] Seq=518 Ack=2665 Win=129728 Len=0 TSval=745172957 TSecr=24531348"
"23","0.071033","10.104.9.70","128.95.155.101","TCP","66","52943  >  443 [ACK] Seq=518 Ack=3997 Win=129728 Len=0 TSval=745172957 TSecr=24531348"
"24","0.071033","10.104.9.70","128.95.155.101","TCP","66","52943  >  443 [ACK] Seq=518 Ack=4786 Win=130240 Len=0 TSval=745172957 TSecr=24531348"
"25","0.076322","10.104.9.70","128.95.155.101","TCP","66","52943  >  443 [FIN, ACK] Seq=518 Ack=4786 Win=131072 Len=0 TSval=745172966 TSecr=24531348"
"26","0.076362","10.104.9.70","128.95.155.101","TCP","66","[TCP Out-Of-Order] 52943  >  443 [FIN, ACK] Seq=518 Ack=4786 Win=131072 Len=0 TSval=745172966 TSecr=24531348"
"27","0.076654","128.95.155.101","10.104.9.70","TCP","60","443  >  52943 [RST, ACK] Seq=4786 Ack=519 Win=0 Len=0"
"28","0.076674","128.95.155.101","10.104.9.70","TCP","60","443  >  52943 [RST, ACK] Seq=4786 Ack=519 Win=0 Len=0"
